Passenger_ID,Estimated_Travel_Budget_USD,Budget_Category,Income_Level,Age,Travel_Purpose
P1,,Luxury,Medium,47,Emergency
P2,1940.0,Standard,Low,30,Family
P3,2300.0,Standard,Low,46,Business
P4,3600.0,Luxury,Medium,75,Leisure
P5,5500.0,Luxury,High,23,Family
P6,,Luxury,Low,28,Emergency
P7,,Luxury,Low,69,Emergency
P8,,Luxury,Medium,59,Emergency
P9,,Luxury,Medium,50,Emergency
P10,,Luxury,Medium,60,Emergency
P11,5100.0,Luxury,Medium,77,Business
P12,4100.0,Luxury,Medium,39,Business
P13,,Luxury,Medium,28,Emergency
P14,2300.0,Standard,Low,38,Business
P15,2940.0,Standard,Low,20,Business
P16,2940.0,Standard,Low,73,Business
P17,,Luxury,Medium,19,Emergency
P18,1540.0,Standard,Low,18,Family
P19,,Luxury,Medium,64,Emergency
P20,2000.0,Standard,Medium,20,Leisure
P21,,Luxury,Medium,22,Emergency
P22,2500.0,Standard,Medium,29,Family
P23,6500.0,Luxury,High,54,Business
P24,800.0,Budget,Low,60,Leisure
P25,2000.0,Standard,Medium,55,Leisure
P26,2000.0,Standard,Medium,34,Leisure
P27,1040.0,Budget,Low,51,Leisure
P28,3500.0,Luxury,Medium,75,Business
P29,,Luxury,Medium,54,Emergency
P30,5500.0,Luxury,High,31,Family
P31,2000.0,Standard,Medium,45,Leisure
P32,3500.0,Luxury,Medium,49,Business
P33,5000.0,Luxury,High,37,Leisure
P34,3100.0,Standard,Medium,76,Family
P35,2500.0,Standard,Medium,44,Family
P36,5500.0,Luxury,High,31,Family
P37,,Luxury,Low,70,Emergency
P38,5000.0,Luxury,High,69,Leisure
P39,2000.0,Standard,Medium,60,Leisure
P40,,Luxury,Medium,44,Emergency
P41,1300.0,Budget,Low,66,Family
P42,3500.0,Luxury,Medium,21,Business
P43,2000.0,Standard,Medium,50,Leisure
P44,,Luxury,Medium,42,Emergency
P45,5000.0,Luxury,High,72,Leisure
P46,800.0,Budget,Low,30,Leisure
P47,4100.0,Luxury,Medium,37,Business
P48,5500.0,Luxury,High,38,Family
P49,3100.0,Standard,Medium,25,Family
P50,,Luxury,High,29,Emergency
P51,3500.0,Luxury,Medium,39,Business
P52,1040.0,Budget,Low,67,Leisure
P53,3100.0,Standard,Medium,22,Family
P54,5100.0,Luxury,Medium,42,Business
P55,,Luxury,Low,54,Emergency
P56,2500.0,Standard,Medium,18,Family
P57,800.0,Budget,Low,41,Leisure
P58,800.0,Budget,Low,79,Leisure
P59,2500.0,Standard,Medium,31,Family
P60,,Luxury,Low,25,Emergency
P61,6500.0,Luxury,High,18,Leisure
P62,5500.0,Luxury,High,44,Family
P63,,Luxury,Medium,75,Emergency
P64,2540.0,Standard,Low,24,Business
P65,8000.0,Luxury,High,69,Business
P66,3500.0,Luxury,Medium,76,Business
P67,2300.0,Standard,Low,56,Business
P68,4100.0,Luxury,Medium,54,Business
P69,6500.0,Luxury,High,53,Leisure
P70,1300.0,Budget,Low,29,Family
P71,,Luxury,Medium,62,Emergency
P72,5000.0,Luxury,High,34,Leisure
P73,800.0,Budget,Low,42,Leisure
P74,2500.0,Standard,Medium,64,Family
P75,2540.0,Standard,Low,29,Business
P76,2540.0,Standard,Low,22,Business
P77,3100.0,Standard,Medium,58,Family
P78,,Luxury,Medium,27,Emergency
P79,2000.0,Standard,Medium,27,Leisure
P80,2300.0,Standard,Low,59,Business
P81,,Luxury,Low,25,Emergency
P82,6500.0,Luxury,High,51,Leisure
P83,2500.0,Standard,Medium,48,Family
P84,,Luxury,Low,40,Emergency
P85,5000.0,Luxury,High,67,Leisure
P86,1300.0,Budget,Low,30,Family
P87,,Luxury,Low,66,Emergency
P88,3500.0,Luxury,Medium,39,Business
P89,5500.0,Luxury,High,20,Family
P90,3500.0,Luxury,Medium,57,Business
P91,,Luxury,Medium,40,Emergency
P92,2300.0,Standard,Low,37,Business
P93,2600.0,Standard,Medium,55,Leisure
P94,2300.0,Standard,Low,55,Business
P95,800.0,Budget,Low,62,Leisure
P96,,Luxury,Low,74,Emergency
P97,,Luxury,Medium,36,Emergency
P98,2500.0,Standard,Medium,37,Family
P99,3600.0,Luxury,Medium,56,Leisure
P100,,Luxury,Low,73,Emergency
P101,2300.0,Standard,Low,25,Business
P102,,Luxury,Low,73,Emergency
P103,5000.0,Luxury,High,64,Leisure
P104,5000.0,Luxury,High,59,Leisure
P105,,Luxury,High,51,Emergency
P106,2000.0,Standard,Medium,42,Leisure
P107,,Luxury,High,75,Emergency
P108,2500.0,Standard,Medium,30,Family
P109,2000.0,Standard,Medium,53,Leisure
P110,,Luxury,Medium,47,Emergency
P111,2500.0,Standard,Medium,74,Family
P112,8000.0,Luxury,High,29,Business
P113,4100.0,Luxury,Medium,62,Family
P114,,Luxury,Medium,29,Emergency
P115,8000.0,Luxury,High,63,Business
P116,5100.0,Luxury,Medium,71,Business
P117,,Luxury,Low,54,Emergency
P118,2000.0,Standard,Medium,67,Leisure
P119,5000.0,Luxury,High,26,Leisure
P120,2500.0,Standard,Medium,51,Family
P121,,Luxury,Medium,25,Emergency
P122,2600.0,Standard,Medium,79,Leisure
P123,3100.0,Standard,Medium,61,Family
P124,1300.0,Budget,Low,32,Family
P125,2000.0,Standard,Medium,29,Leisure
P126,1300.0,Budget,Low,45,Family
P127,800.0,Budget,Low,45,Leisure
P128,,Luxury,Low,42,Emergency
P129,,Luxury,High,62,Emergency
P130,,Luxury,High,31,Emergency
P131,2300.0,Standard,Low,29,Business
P132,1300.0,Budget,Low,43,Family
P133,2600.0,Standard,Medium,19,Leisure
P134,5500.0,Luxury,High,77,Family
P135,2500.0,Standard,Medium,57,Family
P136,6500.0,Luxury,High,60,Leisure
P137,5000.0,Luxury,High,76,Leisure
P138,800.0,Budget,Low,71,Leisure
P139,,Luxury,High,26,Emergency
P140,5100.0,Luxury,Medium,51,Business
P141,2600.0,Standard,Medium,68,Leisure
P142,6500.0,Luxury,High,33,Leisure
P143,2000.0,Standard,Medium,37,Leisure
P144,2000.0,Standard,Medium,54,Leisure
P145,1300.0,Budget,Low,74,Family
P146,,Luxury,Low,60,Emergency
P147,2500.0,Standard,Medium,36,Family
P148,,Luxury,High,24,Emergency
P149,5100.0,Luxury,Medium,72,Business
P150,1300.0,Budget,Low,41,Family
P151,5500.0,Luxury,High,31,Family
P152,3500.0,Luxury,Medium,43,Business
P153,,Luxury,Medium,33,Emergency
P154,2540.0,Standard,Low,20,Business
P155,800.0,Budget,Low,79,Leisure
P156,5000.0,Luxury,High,20,Leisure
P157,3600.0,Luxury,Medium,77,Leisure
P158,,Luxury,Medium,57,Emergency
P159,1300.0,Budget,Low,34,Family
P160,,Luxury,Medium,51,Emergency
P161,,Luxury,Medium,55,Emergency
P162,1300.0,Budget,Low,21,Family
P163,3500.0,Luxury,Medium,40,Business
P164,2600.0,Standard,Medium,75,Leisure
P165,2540.0,Standard,Low,52,Business
P166,800.0,Budget,Low,26,Leisure
P167,,Luxury,Medium,23,Emergency
P168,3500.0,Luxury,Medium,59,Business
P169,2000.0,Standard,Medium,72,Leisure
P170,2000.0,Standard,Medium,38,Leisure
P171,,Luxury,Low,30,Emergency
P172,2500.0,Standard,Medium,59,Family
P173,,Luxury,Medium,35,Emergency
P174,3600.0,Luxury,Medium,67,Leisure
P175,2000.0,Standard,Medium,78,Leisure
P176,7000.0,Luxury,High,78,Family
P177,,Luxury,Medium,74,Emergency
P178,8000.0,Luxury,High,42,Business
P179,800.0,Budget,Low,76,Leisure
P180,,Luxury,Medium,46,Emergency
P181,,Luxury,Low,63,Emergency
P182,2600.0,Standard,Medium,47,Leisure
P183,1540.0,Standard,Low,37,Family
P184,,Luxury,Low,60,Emergency
P185,6500.0,Luxury,High,51,Business
P186,3100.0,Standard,Medium,33,Family
P187,5100.0,Luxury,Medium,79,Business
P188,,Luxury,High,33,Emergency
P189,,Luxury,Medium,72,Emergency
P190,3600.0,Luxury,Medium,33,Leisure
P191,1300.0,Budget,Low,34,Family
P192,,Luxury,Medium,79,Emergency
P193,,Luxury,Low,56,Emergency
P194,3500.0,Luxury,Medium,76,Business
P195,800.0,Budget,Low,79,Leisure
P196,9000.0,Luxury,High,45,Leisure
P197,2000.0,Standard,Medium,74,Leisure
P198,9000.0,Luxury,High,48,Leisure
P199,,Luxury,Medium,79,Emergency
P200,2000.0,Standard,Medium,19,Leisure
P201,10500.0,Luxury,High,75,Business
P202,9500.0,Luxury,High,43,Family
P203,5500.0,Luxury,High,38,Family
P204,2000.0,Standard,Low,60,Leisure
P205,5500.0,Luxury,High,65,Family
P206,,Luxury,Medium,35,Emergency
P207,3100.0,Standard,Medium,49,Family
P208,1940.0,Standard,Low,69,Family
P209,,Luxury,Medium,64,Emergency
P210,2540.0,Standard,Low,34,Business
P211,2500.0,Standard,Medium,33,Family
P212,,Luxury,Low,73,Emergency
P213,5500.0,Luxury,High,24,Family
P214,2500.0,Standard,Medium,22,Family
P215,3500.0,Luxury,Medium,45,Business
P216,3500.0,Luxury,Medium,24,Business
P217,2300.0,Standard,Low,43,Business
P218,,Luxury,Medium,60,Emergency
P219,1300.0,Budget,Low,33,Family
P220,5500.0,Luxury,Medium,19,Family
P221,,Luxury,Medium,54,Emergency
P222,2300.0,Standard,Low,25,Business
P223,1300.0,Budget,Low,43,Family
P224,5500.0,Luxury,High,41,Family
P225,3100.0,Standard,Medium,52,Family
P226,800.0,Budget,Low,74,Leisure
P227,800.0,Budget,Low,52,Leisure
P228,2000.0,Standard,Medium,63,Leisure
P229,3100.0,Standard,Medium,53,Family
P230,4100.0,Luxury,Medium,35,Business
P231,4100.0,Luxury,Medium,19,Family
P232,,Luxury,Medium,56,Emergency
P233,6500.0,Luxury,High,21,Business
P234,,Luxury,Medium,40,Emergency
P235,2600.0,Standard,Medium,60,Leisure
P236,3500.0,Luxury,Medium,45,Business
P237,3500.0,Luxury,Medium,24,Business
P238,2000.0,Standard,Medium,65,Leisure
P239,5500.0,Luxury,High,50,Family
P240,2000.0,Standard,Medium,41,Leisure
P241,2000.0,Standard,Medium,55,Leisure
P242,800.0,Budget,Low,74,Leisure
P243,3500.0,Luxury,Medium,25,Business
P244,6500.0,Luxury,High,56,Business
P245,,Luxury,Low,18,Emergency
